Time,Amount,Class,prediction,dist_to_centroid,threshold,risk_score,reason,predicted_fraud_final
14.0,46.8,0,1,8.62211670677873,8.570572024679016,4.03,Outlier (far from centroid),1.0
52.0,1.46,0,1,10.32495717745524,8.570572024679016,4.83,Outlier (far from centroid),1.0
83.0,7.69,0,1,9.341472254916342,8.570572024679016,4.37,Outlier (far from centroid),1.0
92.0,8.95,0,1,12.500544608829923,8.570572024679016,5.85,Outlier (far from centroid),1.0
209.0,8.97,0,1,12.682284548780665,8.570572024679016,5.94,Outlier (far from centroid),1.0
266.0,10.35,0,1,16.490006096260064,8.570572024679016,7.72,Outlier (far from centroid),1.0
270.0,52.95,0,1,11.393261915352765,8.570572024679016,5.33,Outlier (far from centroid),1.0
290.0,85.0,0,1,11.441774502217797,8.570572024679016,5.35,Outlier (far from centroid),1.0
302.0,9.99,0,1,8.645707390235442,8.570572024679016,4.05,Outlier (far from centroid),1.0
333.0,75.0,0,1,10.26744694614966,8.570572024679016,4.8,Outlier (far from centroid),1.0
339.0,2.0,0,1,9.213103649418159,8.570572024679016,4.31,Outlier (far from centroid),1.0
347.0,204.03,0,1,9.159786012261735,8.570572024679016,4.29,Outlier (far from centroid),1.0
393.0,64.04,0,1,9.085504419203447,8.570572024679016,4.25,Outlier (far from centroid),1.0
406.0,0.0,1,1,9.293672836532755,8.570572024679016,4.35,Outlier (far from centroid),1.0
426.0,16.19,0,1,9.807814671023612,8.570572024679016,4.59,Outlier (far from centroid),1.0
454.0,9.65,0,1,16.27580466242793,8.570572024679016,7.62,Outlier (far from centroid),1.0
548.0,41.96,0,1,10.148539875429037,8.570572024679016,4.75,Outlier (far from centroid),1.0
640.0,125.86,0,1,11.948955565748106,8.570572024679016,5.59,Outlier (far from centroid),1.0
717.0,5.0,0,1,9.236309847639582,8.570572024679016,4.32,Outlier (far from centroid),1.0
721.0,1.46,0,1,10.222294445185959,8.570572024679016,4.78,Outlier (far from centroid),1.0
778.0,9.73,0,1,8.617709553380545,8.570572024679016,4.03,Outlier (far from centroid),1.0
792.0,3.37,0,1,12.370943319950765,8.570572024679016,5.79,Outlier (far from centroid),1.0
905.0,0.89,0,1,17.246542249109694,8.570572024679016,8.07,Outlier (far from centroid),1.0
942.0,3.16,0,1,13.498643397128925,8.570572024679016,6.32,Outlier (far from centroid),1.0
1029.0,0.92,0,1,8.819856581287763,8.570572024679016,4.13,Outlier (far from centroid),1.0
1156.0,148.49,0,1,9.105247300913762,8.570572024679016,4.26,Outlier (far from centroid),1.0
1180.0,22.71,0,1,10.830918576246741,8.570572024679016,5.07,Outlier (far from centroid),1.0
1223.0,4.0,0,1,11.545441540305953,8.570572024679016,5.4,Outlier (far from centroid),1.0
1225.0,1.0,0,1,11.462261452693504,8.570572024679016,5.36,Outlier (far from centroid),1.0
1260.0,17.74,0,1,9.777637624942045,8.570572024679016,4.58,Outlier (far from centroid),1.0
1335.0,9.95,0,1,16.339505557171083,8.570572024679016,7.65,Outlier (far from centroid),1.0
1335.0,4.0,0,1,12.77990561659116,8.570572024679016,5.98,Outlier (far from centroid),1.0
1355.0,200.0,0,1,12.332333085744974,8.570572024679016,5.77,Outlier (far from centroid),1.0
1403.0,16.0,0,1,9.211732898091848,8.570572024679016,4.31,Outlier (far from centroid),1.0
1406.0,4.0,0,1,11.44502654888794,8.570572024679016,5.36,Outlier (far from centroid),1.0
1409.0,1.0,0,1,11.492297375515475,8.570572024679016,5.38,Outlier (far from centroid),1.0
1435.0,11.05,0,1,16.104275831002425,8.570572024679016,7.54,Outlier (far from centroid),1.0
1477.0,19.69,0,1,16.766009008159763,8.570572024679016,7.85,Outlier (far from centroid),1.0
1557.0,3.99,0,1,17.60780819360789,8.570572024679016,8.24,Outlier (far from centroid),1.0
1594.0,80.0,0,1,14.134254453852044,8.570572024679016,6.61,Outlier (far from centroid),1.0
1609.0,37.64,0,1,9.586483075915497,8.570572024679016,4.49,Outlier (far from centroid),1.0
1628.0,79.0,0,1,13.846118087668659,8.570572024679016,6.48,Outlier (far from centroid),1.0
